"Days since purchase","Purchase visits","Total sales","Credit card","Coupons","Items purchased","Blouse","Suit"
208,2,368.46,"No",1,11,"Yes","No"
98,3,450.98,"No",2,19,"No","No"
356,1,79,"No",0,2,"No","No"
264,1,318.5,"No",0,6,"No","No"
157,3,342.97,"Yes",2,12,"No","No"
144,7,632.08,"Yes",2,36,"Yes","No"
118,1,172.99,"No",0,5,"Yes","No"
276,1,87.48,"No",0,4,"No","No"
5,3,538.81,"Yes",0,19,"No","No"
80,4,405.98,"No",0,12,"Yes","No"
98,6,273.98,"Yes",2,15,"No","No"
329,1,96,"No",0,5,"No","No"
320,5,408.93,"No",0,21,"No","No"
21,6,241.44,"No",0,14,"Yes","No"
141,1,214.17,"Yes",1,8,"Yes","No"
145,1,234.99,"Yes",0,6,"Yes","Yes"
92,4,468.87,"No",1,7,"No","Yes"
64,6,452.46,"Yes",3,15,"Yes","No"
89,5,250.1,"Yes",1,17,"Yes","No"
7,12,1562.3,"Yes",5,45,"Yes","No"
20,15,1077.83,"Yes",2,38,"Yes","No"
10,20,486.35,"No",0,33,"Yes","Yes"
33,2,282.37,"Yes",1,6,"Yes","No"
3,26,3465.4,"No",3,93,"Yes","No"
39,5,674.42,"Yes",3,22,"Yes","Yes"
8,31,3450.58,"Yes",4,113,"Yes","No"
181,1,127,"No",0,3,"No","No"
81,1,72.01,"No",0,5,"No","No"
80,6,1462.95,"Yes",3,40,"Yes","Yes"
39,17,1533.13,"Yes",3,49,"Yes","No"
259,2,97.49,"Yes",0,3,"No","No"
159,2,138.98,"No",0,3,"Yes","No"
26,7,116.47,"No",0,9,"Yes","No"
281,1,152.98,"No",0,4,"No","No"
19,2,341.94,"No",0,14,"Yes","No"
127,1,111.71,"No",0,6,"Yes","No"
182,4,234.94,"Yes",0,11,"No","No"
49,2,678,"No",0,13,"Yes","No"
173,6,2093.58,"No",2,51,"Yes","No"
260,1,86.99,"No",0,2,"No","No"
108,1,197,"No",0,3,"Yes","No"
159,6,161.96,"No",0,8,"No","No"
18,2,99.95,"Yes",0,7,"No","No"
212,4,252.45,"No",1,10,"Yes","No"
268,1,84.5,"No",0,3,"No","No"
44,5,350.17,"Yes",0,16,"Yes","No"
149,1,67.97,"No",0,3,"No","No"
37,6,642.91,"No",0,20,"Yes","No"
85,1,153.94,"No",0,6,"No","No"
53,7,2083.82,"Yes",0,47,"Yes","No"
296,2,154.96,"No",0,4,"No","No"
20,2,565.97,"No",0,15,"No","No"
61,5,1043.74,"Yes",2,37,"No","No"
259,1,86.99,"No",0,2,"No","No"
15,5,241.23,"No",0,9,"No","No"
287,1,97,"No",0,3,"No","No"
127,5,785.18,"Yes",1,31,"Yes","No"
107,1,71.49,"No",0,5,"No","No"
150,1,39.98,"No",0,2,"Yes","No"
166,9,584.49,"No",0,31,"No","No"
13,29,1113.64,"Yes",3,90,"Yes","No"
9,58,4792.45,"Yes",4,348,"Yes","No"
70,7,798.97,"No",2,36,"Yes","No"
7,13,1083.38,"Yes",3,66,"Yes","No"
47,2,138.97,"Yes",0,9,"No","No"
107,1,272.69,"Yes",1,5,"Yes","No"
98,1,94,"No",0,2,"No","No"
110,5,210.49,"No",1,10,"Yes","No"
4,45,7377.79,"Yes",19,189,"Yes","Yes"
19,5,170.95,"Yes",0,16,"Yes","No"
66,11,1403.01,"Yes",2,41,"Yes","Yes"
9,12,982.82,"Yes",2,49,"Yes","Yes"
9,6,778.69,"Yes",1,19,"Yes","No"
33,3,639.99,"No",1,11,"Yes","Yes"
302,1,96.3,"Yes",0,3,"No","No"
49,10,752.94,"Yes",0,51,"Yes","No"
50,2,104.94,"No",0,6,"Yes","No"
345,1,158,"No",0,2,"No","No"
7,27,1455.59,"Yes",7,51,"Yes","Yes"
80,3,234.47,"Yes",0,10,"No","No"
120,2,344.78,"No",0,21,"No","No"
225,2,39.98,"No",0,2,"No","No"
299,1,79.98,"Yes",0,2,"No","No"
268,3,159.96,"No",0,5,"No","No"
96,4,223.94,"No",0,11,"Yes","No"
14,18,1365.59,"Yes",9,60,"Yes","No"
232,2,167.97,"No",0,9,"No","No"
46,13,736.9,"No",0,38,"Yes","No"
274,1,188.98,"No",0,9,"No","No"
72,7,1637.71,"No",0,49,"Yes","No"
166,1,99.99,"No",0,1,"No","Yes"
7,6,414.44,"Yes",0,12,"No","No"
261,2,124.21,"No",0,4,"No","No"
175,5,164.99,"Yes",0,8,"Yes","No"
265,1,141.98,"Yes",1,3,"No","No"
53,7,381.94,"Yes",0,18,"Yes","No"
152,4,402.97,"Yes",1,13,"No","No"
361,1,88.99,"No",0,3,"No","No"
315,1,168,"No",0,4,"No","No"
153,1,185,"No",0,6,"No","No"
1,29,1037.42,"Yes",3,62,"Yes","No"
43,4,188.63,"Yes",0,14,"No","No"
30,1,147.99,"No",0,2,"No","No"
67,6,915.16,"Yes",5,25,"Yes","No"
33,2,185.97,"Yes",1,12,"Yes","No"
302,1,15.99,"No",0,4,"No","No"
117,5,237.2,"No",0,14,"Yes","No"
27,10,1217.19,"Yes",5,40,"Yes","No"
5,3,311.97,"No",0,5,"Yes","No"
5,14,1376.05,"Yes",2,38,"Yes","No"
34,4,360.97,"Yes",0,10,"Yes","No"
1,14,1904.37,"Yes",3,40,"Yes","Yes"
341,1,176,"No",0,3,"Yes","No"
144,1,88,"No",0,1,"No","No"
305,2,278,"No",0,7,"No","No"
12,11,1304.88,"Yes",7,57,"Yes","No"
61,2,83.98,"No",0,3,"Yes","No"
150,1,88.99,"No",0,2,"Yes","No"
285,1,93.98,"No",0,3,"No","No"
5,9,847.32,"Yes",2,32,"No","No"
228,4,496.42,"Yes",0,19,"No","No"
356,1,29,"No",0,1,"No","No"
51,20,1835.06,"Yes",4,90,"Yes","No"
48,7,377.7,"Yes",1,20,"Yes","No"
18,10,1386.05,"Yes",2,63,"Yes","No"
34,9,842.99,"Yes",1,40,"Yes","No"
6,3,284.75,"Yes",1,8,"Yes","No"
302,1,166.99,"No",0,6,"No","No"
343,2,35.1,"Yes",0,3,"No","No"
220,1,351.47,"Yes",0,12,"No","No"
1,14,1972.06,"Yes",4,68,"No","No"
5,5,785.16,"Yes",3,18,"Yes","No"
44,6,174.66,"No",0,13,"Yes","No"
30,7,319.95,"No",0,14,"Yes","No"
14,3,117.48,"No",0,5,"Yes","No"
32,19,780.63,"Yes",3,48,"Yes","No"
37,11,1081.67,"Yes",6,29,"Yes","No"
137,5,466.72,"No",0,13,"Yes","No"
117,6,556.43,"Yes",2,17,"Yes","No"
49,3,504.29,"Yes",0,11,"Yes","No"
216,4,517.96,"No",0,10,"Yes","No"
241,1,80.97,"No",0,4,"No","No"
20,2,330.46,"Yes",1,14,"Yes","Yes"
314,1,160.2,"Yes",0,2,"No","No"
252,1,158,"Yes",0,2,"No","No"
137,3,181.97,"No",0,6,"No","No"
36,1,77.98,"No",0,2,"No","No"
206,2,715.99,"Yes",0,19,"No","No"
17,1,323,"Yes",0,8,"No","No"
325,1,156,"No",0,5,"No","No"
108,4,260.13,"No",1,14,"Yes","No"
334,1,592.19,"Yes",0,10,"Yes","Yes"
123,2,325.46,"No",0,9,"Yes","No"
162,1,192.94,"No",0,6,"Yes","No"
5,14,414.95,"No",0,29,"Yes","No"
152,1,330.01,"Yes",2,10,"No","No"
138,3,700.81,"Yes",1,29,"Yes","No"
335,1,98,"No",0,2,"No","No"
127,3,244.38,"Yes",1,19,"No","No"
348,1,98,"No",0,4,"No","No"
337,2,222,"Yes",0,5,"Yes","No"
348,1,132,"No",0,3,"No","No"
109,1,69.98,"No",0,2,"Yes","No"
131,3,154.71,"Yes",0,6,"No","No"
98,3,120.94,"No",0,8,"Yes","No"
205,5,702.33,"No",1,26,"No","Yes"
19,3,82.98,"No",0,3,"Yes","No"
214,2,86,"Yes",0,3,"No","No"
299,1,89.49,"No",0,2,"No","No"
351,1,133,"No",0,3,"No","No"
303,1,155.03,"Yes",0,3,"No","No"
124,4,785.97,"Yes",1,15,"No","No"
42,3,335.56,"No",0,11,"Yes","No"
274,1,105.99,"Yes",0,8,"Yes","No"
106,2,133.99,"No",0,2,"No","No"
243,1,123.98,"Yes",0,4,"Yes","No"
69,1,100.45,"No",0,5,"Yes","No"
17,65,6913.46,"Yes",20,285,"Yes","No"
69,2,517.59,"Yes",1,12,"No","No"
243,6,277.96,"No",0,10,"Yes","No"
94,2,170.47,"Yes",1,7,"No","No"
51,1,103.98,"Yes",0,2,"No","No"
11,6,806.18,"Yes",0,21,"No","No"
214,4,235.49,"No",0,11,"Yes","No"
4,2,398,"No",1,9,"No","No"
15,2,101.46,"No",0,8,"Yes","No"
275,3,322.96,"No",0,10,"Yes","No"
42,1,358.9,"No",0,14,"Yes","No"
116,3,538.33,"Yes",0,10,"No","No"
62,2,79.2,"Yes",0,5,"Yes","No"
166,1,292,"No",0,4,"No","No"
45,1,70.78,"No",0,4,"No","No"
327,2,280.49,"Yes",0,11,"No","No"
103,5,350.49,"Yes",0,12,"Yes","No"
203,3,103.5,"No",0,4,"No","No"
279,2,88,"No",0,6,"No","No"
345,2,422,"Yes",0,7,"No","No"
150,1,202.49,"Yes",1,4,"Yes","No"
60,1,278.4,"Yes",0,6,"Yes","No"
345,1,491,"Yes",0,9,"No","No"
236,3,181.93,"No",0,8,"No","No"
75,5,82.48,"No",0,10,"Yes","No"
138,1,100.96,"Yes",0,5,"No","No"
85,3,376.49,"Yes",0,12,"No","No"
67,1,120.48,"No",0,4,"No","No"
9,12,912.04,"Yes",3,35,"Yes","No"
250,1,122.96,"No",0,5,"No","No"
14,18,1370.46,"Yes",4,85,"Yes","No"
54,1,156,"No",0,4,"Yes","No"
44,9,483.68,"Yes",0,17,"No","No"
24,24,2600.54,"Yes",5,102,"Yes","No"
160,3,177.96,"Yes",1,5,"Yes","No"
269,2,389.25,"No",0,10,"Yes","No"
329,1,79,"No",0,1,"No","No"
158,3,156.43,"Yes",0,8,"No","No"
227,4,214.02,"No",0,6,"No","No"
152,6,227.43,"Yes",0,11,"No","No"
38,3,246.93,"No",0,11,"Yes","No"
37,14,1124.92,"Yes",1,27,"No","No"
304,1,68,"No",0,2,"Yes","No"
97,2,179.94,"Yes",0,6,"No","No"
58,2,644.98,"Yes",0,15,"Yes","No"
15,36,534.29,"Yes",2,59,"No","No"
325,1,323,"Yes",0,2,"No","No"
168,5,286.97,"Yes",2,13,"Yes","No"
290,1,104.75,"No",0,3,"No","No"
250,7,1126.49,"No",0,24,"Yes","No"
5,5,404.21,"Yes",1,16,"Yes","No"
236,1,68.98,"No",0,2,"No","No"
17,1,70,"Yes",0,3,"No","No"
28,4,597.36,"Yes",2,21,"Yes","No"
240,4,147.69,"No",0,9,"Yes","No"
217,2,84,"Yes",0,2,"No","No"
49,13,1019.55,"Yes",0,50,"Yes","No"
214,1,514.35,"No",1,9,"Yes","No"
3,18,456.45,"Yes",2,40,"Yes","No"
5,19,1898.51,"Yes",4,81,"Yes","No"
92,4,159.97,"No",0,8,"No","No"
9,13,876.87,"Yes",3,24,"Yes","No"
300,2,73.56,"Yes",0,5,"No","No"
159,2,279,"Yes",1,5,"No","No"
120,7,303.92,"Yes",2,16,"No","No"
344,1,117,"No",0,8,"No","No"
236,1,74.96,"Yes",0,6,"Yes","No"
322,3,731,"No",0,24,"No","No"
314,1,129.99,"No",0,1,"No","Yes"
6,4,466.99,"Yes",0,9,"Yes","No"
222,2,310,"No",0,17,"Yes","No"
311,2,172.8,"Yes",0,5,"Yes","No"
89,3,405.45,"Yes",0,19,"Yes","No"
236,3,312.48,"No",0,8,"No","No"
103,2,464.25,"Yes",2,16,"Yes","No"
93,2,123.14,"No",0,6,"No","No"
354,1,369.97,"No",0,3,"No","Yes"
342,3,136.25,"No",0,6,"No","No"
283,2,168.2,"No",0,6,"No","No"
12,7,645.84,"Yes",0,23,"Yes","No"
41,12,1296.28,"Yes",6,50,"Yes","No"
147,3,445.99,"No",0,12,"No","No"
292,1,188.49,"Yes",0,3,"No","No"
13,2,107,"Yes",1,3,"Yes","No"
340,2,334.96,"No",0,10,"No","No"
233,1,139.97,"No",0,3,"No","No"
89,3,312.97,"Yes",1,11,"Yes","No"
349,1,83.98,"No",0,3,"No","No"
80,6,617.98,"Yes",2,12,"No","No"
40,4,129.96,"No",0,6,"Yes","No"
199,2,466.16,"Yes",1,16,"Yes","No"
34,4,69.97,"No",0,6,"No","No"
249,1,69.48,"No",0,3,"No","No"
302,2,117,"Yes",0,3,"No","No"
89,6,1214.4,"Yes",2,28,"Yes","Yes"
117,2,686.9,"No",0,14,"Yes","No"
19,2,89.97,"Yes",0,4,"No","No"
116,1,115.18,"Yes",0,3,"Yes","No"
66,11,764.98,"No",1,50,"Yes","No"
127,3,406.48,"Yes",0,9,"No","No"
5,32,2094.14,"Yes",5,145,"Yes","Yes"
131,6,756.58,"Yes",0,28,"Yes","Yes"
20,1,284,"Yes",0,4,"Yes","No"
76,9,587.9,"Yes",1,25,"Yes","No"
30,8,744.15,"Yes",2,30,"Yes","Yes"
16,5,168.73,"No",0,9,"No","No"
12,9,957.9,"No",3,32,"Yes","No"
12,20,1121.91,"Yes",7,60,"Yes","No"
28,4,305.99,"Yes",0,12,"No","No"
258,1,235,"No",0,4,"Yes","No"
6,12,2215.72,"Yes",3,52,"Yes","No"
222,1,100,"No",0,1,"No","No"
136,2,474.05,"Yes",1,9,"Yes","Yes"
93,2,288.74,"Yes",1,9,"No","No"
8,7,732.92,"Yes",2,14,"Yes","Yes"
119,2,626.57,"Yes",0,16,"Yes","No"
23,3,592.99,"No",0,13,"Yes","No"
83,1,302.38,"Yes",1,11,"Yes","No"
44,8,1028.36,"Yes",3,37,"Yes","Yes"
167,4,297,"Yes",1,12,"No","No"
241,3,283.19,"Yes",0,7,"Yes","No"
